Attack,Cosine_Sim,SSIM,PSNR_dB,Time_sec,Fooled
Random Noise,0.9978135228157043,0.9339115,36.82436576680701,0.0004191398620605469,False
Targeted FGSM,0.7495955228805542,0.8459669,32.21198725872456,0.15711140632629395,False
Targeted PGD,0.3055145740509033,0.8949669,33.85951328070591,4.048905611038208,True
TSID (ours),-0.6075803637504578,0.9351063,35.760418164285014,6.141585111618042,True
